account,suppress_reason,evidence
zip-rs,app_installed,stepsecurity-app[bot] PRs in 1 repos; e.g. zip-rs/zip2
broadsage,app_installed,stepsecurity-app[bot] PRs in 7 repos; e.g. broadsage/opensource-template
travi-test,app_installed,stepsecurity-app[bot] PRs in 9 repos; e.g. travi-test/.github
SolidInvoice,app_installed,stepsecurity-app[bot] PRs in 1 repos; e.g. SolidInvoice/SolidInvoice
Contrast-Security-OSS,app_installed,stepsecurity-app[bot] PRs in 145 repos; e.g. Contrast-Security-OSS/cassandra-migration
nodenv,app_installed,stepsecurity-app[bot] PRs in 9 repos; e.g. nodenv/nodenv
openmeterio,policy_store,policy store / api-key in 1 repos
monetr,app_installed,stepsecurity-app[bot] PRs in 6 repos; e.g. monetr/monetr
kolide,app_installed,stepsecurity-app[bot] PRs in 9 repos; e.g. kolide/launcher
celo-org,policy_store,policy store / api-key in 1 repos
freshaengineering,app_installed,stepsecurity-app[bot] PRs in 5 repos; e.g. freshaengineering/lang_ex
freshaengineering,policy_store,policy store / api-key in 5 repos
pixelfactory-go,app_installed,stepsecurity-app[bot] PRs in 5 repos; e.g. pixelfactory-go/go-vanity-pkg
windlasstech,app_installed,stepsecurity-app[bot] PRs in 6 repos; e.g. windlasstech/.github
Recidiviz,app_installed,stepsecurity-app[bot] PRs in 5 repos; e.g. Recidiviz/pulse-data
chainguard-forks,app_installed,stepsecurity-app[bot] PRs in 2 repos; e.g. chainguard-forks/kaniko
grcengineering,app_installed,stepsecurity-app[bot] PRs in 14 repos; e.g. grcengineering/gigachad-grc
midas-apps,app_installed,stepsecurity-app[bot] PRs in 3 repos; e.g. midas-apps/contracts
midas-apps,policy_store,policy store / api-key in 3 repos
anolilab,app_installed,stepsecurity-app[bot] PRs in 9 repos; e.g. anolilab/lunora
Apich-Organization,app_installed,stepsecurity-app[bot] PRs in 15 repos; e.g. Apich-Organization/bincode
AlphaSphereDotAI,app_installed,stepsecurity-app[bot] PRs in 8 repos; e.g. AlphaSphereDotAI/AlphaSphereDotAI.github.io
esbpcs,app_installed,stepsecurity-app[bot] PRs in 2 repos; e.g. esbpcs/cloud-alerts-terraform
secureblue,app_installed,stepsecurity-app[bot] PRs in 2 repos; e.g. secureblue/secureblue
devantler-tech,app_installed,stepsecurity-app[bot] PRs in 9 repos; e.g. devantler-tech/ksail
cxpsemea,app_installed,stepsecurity-app[bot] PRs in 4 repos; e.g. cxpsemea/cxsast_custom_reporting
derecalliance,app_installed,stepsecurity-app[bot] PRs in 2 repos; e.g. derecalliance/api-java
coveo-labs,app_installed,stepsecurity-app[bot] PRs in 4 repos; e.g. coveo-labs/commerce-agent-frontend-implementation-react
KoddiDev,app_installed,stepsecurity-app[bot] PRs in 1 repos; e.g. KoddiDev/blog-integrating-sponsored-listings
KoddiDev,policy_store,policy store / api-key in 1 repos
aerospike-community,app_installed,stepsecurity-app[bot] PRs in 43 repos; e.g. aerospike-community/aerospike-client-ruby
akuity,app_installed,stepsecurity-app[bot] PRs in 1 repos; e.g. akuity/kargo
RasaHQ,app_installed,stepsecurity-app[bot] PRs in 1 repos; e.g. RasaHQ/rasa-sdk
Aiko-IT-Systems,app_installed,stepsecurity-app[bot] PRs in 1 repos; e.g. Aiko-IT-Systems/cloudflare-link-shortener
adaptive-enforcement-lab,app_installed,stepsecurity-app[bot] PRs in 1 repos; e.g. adaptive-enforcement-lab/readability
AquaNow,app_installed,stepsecurity-app[bot] PRs in 1 repos; e.g. AquaNow/usdu-smart-contracts
org-efernandes-ppb,app_installed,stepsecurity-app[bot] PRs in 1 repos; e.g. org-efernandes-ppb/actions-system-info
spokbjorn,app_installed,stepsecurity-app[bot] PRs in 1 repos; e.g. spokbjorn/openapi-typescript
authelia,app_installed,stepsecurity-app[bot] PRs in 4 repos; e.g. authelia/authelia
adRise,app_installed,stepsecurity-app[bot] PRs in 3 repos; e.g. adRise/update-pr-branch
adRise,policy_store,policy store / api-key in 1 repos
LUSKTECH,app_installed,stepsecurity-app[bot] PRs in 1 repos; e.g. LUSKTECH/lusk.tech
new-black,app_installed,stepsecurity-app[bot] PRs in 2 repos; e.g. new-black/eva-apispec
IoFinnet,app_installed,stepsecurity-app[bot] PRs in 2 repos; e.g. IoFinnet/threshlib
coveops,app_installed,stepsecurity-app[bot] PRs in 1 repos; e.g. coveops/required-public-workflows
Enflame-Media-LLC,app_installed,stepsecurity-app[bot] PRs in 3 repos; e.g. Enflame-Media-LLC/Magic-Agent
thepeacockproject,app_installed,stepsecurity-app[bot] PRs in 1 repos; e.g. thepeacockproject/Peacock
visulima,app_installed,stepsecurity-app[bot] PRs in 2 repos; e.g. visulima/visulima
verity-org,app_installed,stepsecurity-app[bot] PRs in 1 repos; e.g. verity-org/verity
QubitProducts,app_installed,stepsecurity-app[bot] PRs in 3 repos; e.g. QubitProducts/exporter_exporter
upbound,app_installed,stepsecurity-app[bot] PRs in 2 repos; e.g. upbound/provider-opentofu
ORCID-dev,app_installed,stepsecurity-app[bot] PRs in 2 repos; e.g. ORCID-dev/ORCID_DEV-Source
puya310inc2,app_installed,stepsecurity-app[bot] PRs in 1 repos; e.g. puya310inc2/test-iac-diff
org-deacc-sec,app_installed,stepsecurity-app[bot] PRs in 1 repos; e.g. org-deacc-sec/no-secrets-here
bytedance,all_reverted,"1 revert PRs, no harden-runner live"
x402-foundation,app_installed,stepsecurity-app[bot] PRs in 1 repos; e.g. x402-foundation/x402
Checkmarx,app_installed,stepsecurity-app[bot] PRs in 36 repos; e.g. Checkmarx/kics
codota,app_installed,stepsecurity-app[bot] PRs in 3 repos; e.g. codota/tabnine-vscode
rapidsai,app_installed,stepsecurity-app[bot] PRs in 3 repos; e.g. rapidsai/rmm
opentracing-contrib,all_reverted,"1 revert PRs, no harden-runner live"
aerospike-examples,app_installed,stepsecurity-app[bot] PRs in 70 repos; e.g. aerospike-examples/interactive-notebooks
contentful,app_installed,stepsecurity-app[bot] PRs in 3 repos; e.g. contentful/apps
contentful,all_reverted,"2 revert PRs, no harden-runner live"
checkmarx-ts,app_installed,stepsecurity-app[bot] PRs in 16 repos; e.g. checkmarx-ts/checkmarx-cxflow-github-action
shotover,app_installed,stepsecurity-app[bot] PRs in 12 repos; e.g. shotover/shotover-proxy
checkmarx-ltd,app_installed,stepsecurity-app[bot] PRs in 4 repos; e.g. checkmarx-ltd/cx-flow
waldoapp,app_installed,stepsecurity-app[bot] PRs in 3 repos; e.g. waldoapp/waldo-programmatic-samples
euc-dev,app_installed,stepsecurity-app[bot] PRs in 16 repos; e.g. euc-dev/euc-dev.github.io
instaclustr,app_installed,stepsecurity-app[bot] PRs in 5 repos; e.g. instaclustr/atsc
Tricentis,app_installed,stepsecurity-app[bot] PRs in 2 repos; e.g. Tricentis/qTest.Charts
techbymatt,app_installed,stepsecurity-app[bot] PRs in 2 repos; e.g. techbymatt/vyos-pkg
MAD-Goat-Project,app_installed,stepsecurity-app[bot] PRs in 6 repos; e.g. MAD-Goat-Project/mad-name-generator
LCV-Ideas-Software,app_installed,stepsecurity-app[bot] PRs in 11 repos; e.g. LCV-Ideas-Software/admin-app
NetAppLabs,app_installed,stepsecurity-app[bot] PRs in 2 repos; e.g. NetAppLabs/smb-js
Sealights,app_installed,stepsecurity-app[bot] PRs in 1 repos; e.g. Sealights/ultimate-json-streamer
aerospike-managed-cloud-services,app_installed,stepsecurity-app[bot] PRs in 1 repos; e.g. aerospike-managed-cloud-services/ams-code-samples
aerospike-playground,app_installed,stepsecurity-app[bot] PRs in 1 repos; e.g. aerospike-playground/test
ASTperfTest,app_installed,stepsecurity-app[bot] PRs in 1 repos; e.g. ASTperfTest/apisec-WebGoat
bugbase-pentest,app_installed,stepsecurity-app[bot] PRs in 1 repos; e.g. bugbase-pentest/bb-securerepo-pr-5949f2d230a94f4f
citrusleaf,app_installed,stepsecurity-app[bot] PRs in 1 repos; e.g. citrusleaf/getting-started
deepinsight-io,app_installed,stepsecurity-app[bot] PRs in 1 repos; e.g. deepinsight-io/action-wait-on-workflow
fucina,app_installed,stepsecurity-app[bot] PRs in 1 repos; e.g. fucina/treb
Hashnotefi,app_installed,stepsecurity-app[bot] PRs in 1 repos; e.g. Hashnotefi/entitlements
Hein-Consulting,app_installed,stepsecurity-app[bot] PRs in 1 repos; e.g. Hein-Consulting/eslint-plugin-project-standards
Sealights-btq,app_installed,stepsecurity-app[bot] PRs in 4 repos; e.g. Sealights-btq/btq-pen-test-26-v2-btq
tempoxyz,app_installed,stepsecurity-app[bot] PRs in 1 repos; e.g. tempoxyz/gh-actions
TLMSLLC,app_installed,stepsecurity-app[bot] PRs in 1 repos; e.g. TLMSLLC/Next.js
trmlabs,app_installed,stepsecurity-app[bot] PRs in 1 repos; e.g. trmlabs/python-coding-interview-ext
